threshold,n_bubbles,n_near,flipped_to_near,flipped_to_bubble,median_auc,ci_low,ci_high,mean_auc,std_auc,n_splits
30,51,18,1,25,0.75,0.524375,1.0,0.7569999999999999,0.12619825672330026,200
35,36,33,1,10,0.8163265306122449,0.5918367346938775,0.979591836734694,0.796938775510204,0.10594077856566238,200
38,28,41,2,3,0.7708333333333334,0.5,0.9791666666666666,0.7819791666666667,0.12454565867082641,200
40,25,44,2,0,0.8666666666666667,0.5777777777777778,1.0,0.8425555555555556,0.11041509782253735,200
42,24,45,3,0,0.8444444444444444,0.5555555555555556,1.0,0.8297777777777778,0.11200617266940863,200
45,24,45,3,0,0.8444444444444444,0.5555555555555556,1.0,0.8297777777777778,0.11200617266940863,200
50,24,45,3,0,0.8444444444444444,0.5555555555555556,1.0,0.8297777777777778,0.11200617266940863,200
