orig_auc,minilm_auc,diff
0.85,0.9,0.050000000000000044
1.0,0.9,-0.09999999999999998
0.975,0.9,-0.07499999999999996
0.75,0.875,0.125
0.8,0.825,0.02499999999999991
0.95,0.975,0.025000000000000022
0.725,0.8,0.07500000000000007
0.95,1.0,0.050000000000000044
0.95,0.7250000000000001,-0.22499999999999987
0.975,0.775,-0.19999999999999996
0.875,0.925,0.050000000000000044
0.525,0.5750000000000001,0.050000000000000044
0.7749999999999999,0.825,0.050000000000000044
0.95,0.975,0.025000000000000022
0.7,0.7,0.0
0.875,0.9,0.025000000000000022
0.75,0.85,0.09999999999999998
0.85,0.7000000000000001,-0.1499999999999999
0.625,0.6499999999999999,0.02499999999999991
0.85,0.925,0.07500000000000007
0.9,1.0,0.09999999999999998
0.8,0.775,-0.025000000000000022
0.95,0.95,0.0
0.55,0.525,-0.025000000000000022
0.975,0.925,-0.04999999999999993
0.7000000000000001,0.7000000000000001,0.0
0.9,0.875,-0.025000000000000022
0.8500000000000001,0.925,0.07499999999999996
0.9,0.95,0.04999999999999993
0.95,0.95,0.0
0.7,0.625,-0.07499999999999996
0.975,0.95,-0.025000000000000022
0.95,0.875,-0.07499999999999996
0.675,0.675,0.0
0.75,0.825,0.07499999999999996
0.825,0.9,0.07500000000000007
0.8500000000000001,0.925,0.07499999999999996
0.55,0.42499999999999993,-0.1250000000000001
0.85,0.95,0.09999999999999998
0.8250000000000001,0.6749999999999999,-0.15000000000000013
0.75,0.725,-0.025000000000000022
0.575,0.575,0.0
1.0,1.0,0.0
0.775,0.775,0.0
0.8,0.85,0.04999999999999993
0.65,0.675,0.025000000000000022
0.925,0.7,-0.2250000000000001
0.6749999999999999,0.7500000000000001,0.07500000000000018
0.9,0.8,-0.09999999999999998
0.9,0.95,0.04999999999999993
0.8,0.8500000000000001,0.050000000000000044
0.5,0.5750000000000001,0.07500000000000007
0.775,0.775,0.0
0.55,0.525,-0.025000000000000022
0.85,0.775,-0.07499999999999996
0.675,0.7250000000000001,0.050000000000000044
0.95,1.0,0.050000000000000044
0.975,1.0,0.025000000000000022
0.65,0.85,0.19999999999999996
0.7999999999999999,0.85,0.050000000000000044
0.625,0.7250000000000001,0.10000000000000009
0.95,1.0,0.050000000000000044
0.9,0.925,0.025000000000000022
0.925,0.875,-0.050000000000000044
0.7749999999999999,0.8,0.025000000000000133
0.95,0.925,-0.02499999999999991
0.925,0.95,0.02499999999999991
0.925,0.95,0.02499999999999991
1.0,1.0,0.0
0.8,0.825,0.02499999999999991
0.9,0.925,0.025000000000000022
0.8500000000000001,0.875,0.02499999999999991
0.75,0.625,-0.125
0.95,0.95,0.0
0.85,0.875,0.025000000000000022
1.0,1.0,0.0
0.85,0.875,0.025000000000000022
0.8,0.8250000000000001,0.025000000000000022
1.0,0.975,-0.025000000000000022
0.975,0.9,-0.07499999999999996
0.8,0.75,-0.050000000000000044
1.0,1.0,0.0
0.9,0.95,0.04999999999999993
0.75,0.825,0.07499999999999996
0.775,0.8250000000000001,0.050000000000000044
0.475,0.625,0.15000000000000002
1.0,1.0,0.0
0.975,0.9,-0.07499999999999996
0.7,0.775,0.07500000000000007
0.925,0.95,0.02499999999999991
0.875,0.925,0.050000000000000044
0.975,1.0,0.025000000000000022
0.8,0.7500000000000001,-0.04999999999999993
0.975,1.0,0.025000000000000022
0.7,0.7749999999999999,0.07499999999999996
0.9,0.95,0.04999999999999993
0.9,0.95,0.04999999999999993
0.8250000000000001,0.8250000000000001,0.0
0.8,0.825,0.02499999999999991
1.0,1.0,0.0
0.8250000000000001,0.85,0.02499999999999991
0.9,0.975,0.07499999999999996
0.9,0.825,-0.07500000000000007
0.75,0.775,0.025000000000000022
0.75,0.7500000000000001,1.1102230246251565e-16
0.825,0.85,0.025000000000000022
0.75,0.675,-0.07499999999999996
0.9,0.925,0.025000000000000022
0.775,0.875,0.09999999999999998
0.925,0.925,0.0
0.825,0.9,0.07500000000000007
0.525,0.6250000000000001,0.10000000000000009
0.7250000000000001,0.775,0.04999999999999993
0.975,0.925,-0.04999999999999993
0.75,0.75,0.0
0.875,0.95,0.07499999999999996
0.9,0.95,0.04999999999999993
0.8,0.8,0.0
0.6749999999999999,0.75,0.07500000000000007
0.85,0.925,0.07500000000000007
0.8,0.8,0.0
0.8250000000000001,0.9,0.07499999999999996
0.825,0.8500000000000001,0.025000000000000133
1.0,0.925,-0.07499999999999996
0.85,0.9,0.050000000000000044
0.9,0.925,0.025000000000000022
0.7749999999999999,0.8,0.025000000000000133
0.875,0.8,-0.07499999999999996
0.8,0.9,0.09999999999999998
0.8250000000000001,0.6000000000000001,-0.22499999999999998
0.9,0.95,0.04999999999999993
0.975,0.85,-0.125
0.9,0.9,0.0
0.7500000000000001,0.7500000000000001,0.0
0.7749999999999999,0.85,0.07500000000000007
0.75,0.8,0.050000000000000044
0.9,0.95,0.04999999999999993
0.825,0.675,-0.1499999999999999
0.925,0.9,-0.025000000000000022
0.875,0.825,-0.050000000000000044
0.975,0.85,-0.125
0.9,0.9,0.0
0.925,0.925,0.0
0.95,0.925,-0.02499999999999991
0.625,0.65,0.025000000000000022
0.975,0.975,0.0
1.0,0.925,-0.07499999999999996
0.875,0.95,0.07499999999999996
0.75,0.825,0.07499999999999996
0.8,0.85,0.04999999999999993
0.7000000000000001,0.7000000000000001,0.0
0.925,0.925,0.0
0.925,0.925,0.0
0.75,0.8,0.050000000000000044
0.875,0.825,-0.050000000000000044
0.9,0.85,-0.050000000000000044
0.95,0.95,0.0
0.975,0.925,-0.04999999999999993
0.875,0.925,0.050000000000000044
0.625,0.65,0.025000000000000022
0.9,1.0,0.09999999999999998
0.7500000000000001,0.725,-0.025000000000000133
1.0,0.925,-0.07499999999999996
0.875,0.9,0.025000000000000022
0.7000000000000001,0.7500000000000001,0.050000000000000044
0.775,0.85,0.07499999999999996
0.8,0.9,0.09999999999999998
0.95,1.0,0.050000000000000044
0.7,0.85,0.15000000000000002
0.925,0.925,0.0
0.95,0.9,-0.04999999999999993
0.7500000000000001,0.8500000000000001,0.09999999999999998
1.0,0.95,-0.050000000000000044
0.9,0.8250000000000001,-0.07499999999999996
0.775,0.775,0.0
0.95,0.925,-0.02499999999999991
0.825,0.925,0.10000000000000009
0.875,0.95,0.07499999999999996
0.95,0.8,-0.1499999999999999
0.8,0.75,-0.050000000000000044
0.85,0.85,0.0
0.85,0.925,0.07500000000000007
0.9,0.875,-0.025000000000000022
0.925,0.95,0.02499999999999991
0.4,0.625,0.22499999999999998
0.75,0.85,0.09999999999999998
0.7,0.75,0.050000000000000044
0.925,0.95,0.02499999999999991
0.75,0.8,0.050000000000000044
0.925,0.975,0.04999999999999993
0.925,0.8,-0.125
0.9,0.9,0.0
0.85,0.925,0.07500000000000007
0.875,0.875,0.0
0.775,0.825,0.04999999999999993
1.0,0.95,-0.050000000000000044
0.85,0.825,-0.025000000000000022
0.95,0.95,0.0
0.8500000000000001,0.95,0.09999999999999987
0.825,0.8,-0.02499999999999991
