lag_days,median_auc,ci_low,ci_high,mean_auc,std_auc
0,0.8500000000000001,0.5493750000000001,1.0,0.839,0.11767646323713166
30,0.85,0.55,1.0,0.8348749999999999,0.1182924738730237
60,0.85,0.5493750000000001,1.0,0.831125,0.1205844491424993
90,0.8250000000000001,0.5250000000000001,1.0,0.825125,0.12271658149981199
