global_auc,perfold_auc,diff
0.85,0.925,0.07500000000000007
1.0,0.875,-0.125
0.975,0.875,-0.09999999999999998
0.75,0.8,0.050000000000000044
0.8,0.775,-0.025000000000000022
0.95,0.95,0.0
0.725,0.725,0.0
0.95,0.95,0.0
0.95,0.7250000000000001,-0.22499999999999987
0.975,1.0,0.025000000000000022
0.875,0.875,0.0
0.525,0.5750000000000001,0.050000000000000044
0.7749999999999999,0.8,0.025000000000000133
0.95,0.95,0.0
0.7,0.7,0.0
0.875,0.875,0.0
0.75,0.875,0.125
0.85,0.7,-0.15000000000000002
0.625,0.6500000000000001,0.025000000000000133
0.85,0.9,0.050000000000000044
0.9,0.9,0.0
0.8,0.8,0.0
0.95,0.95,0.0
0.55,0.55,0.0
0.975,0.975,0.0
0.7000000000000001,0.7250000000000001,0.025000000000000022
0.9,0.9,0.0
0.8500000000000001,0.8250000000000001,-0.025000000000000022
0.9,0.9,0.0
0.95,0.95,0.0
0.7,0.7,0.0
0.975,0.975,0.0
0.95,0.95,0.0
0.675,0.7000000000000001,0.025000000000000022
0.75,0.75,0.0
0.825,0.85,0.025000000000000022
0.8500000000000001,0.8250000000000001,-0.025000000000000022
0.55,0.5,-0.050000000000000044
0.85,0.825,-0.025000000000000022
0.8250000000000001,0.65,-0.17500000000000004
0.75,0.75,0.0
0.575,0.6,0.025000000000000022
1.0,1.0,0.0
0.775,0.775,0.0
0.8,0.8,0.0
0.65,0.65,0.0
0.925,0.875,-0.050000000000000044
0.6749999999999999,0.7250000000000001,0.050000000000000155
0.9,0.825,-0.07500000000000007
0.9,0.9,0.0
0.8,0.8,0.0
0.5,0.5,0.0
0.775,0.775,0.0
0.55,0.65,0.09999999999999998
0.85,0.75,-0.09999999999999998
0.675,0.675,0.0
0.95,0.95,0.0
0.975,0.975,0.0
0.65,0.7500000000000001,0.10000000000000009
0.7999999999999999,0.7999999999999999,0.0
0.625,0.7,0.07499999999999996
0.95,1.0,0.050000000000000044
0.9,0.925,0.025000000000000022
0.925,0.8,-0.125
0.7749999999999999,0.8,0.025000000000000133
0.95,0.8250000000000001,-0.12499999999999989
0.925,0.95,0.02499999999999991
0.925,0.925,0.0
1.0,1.0,0.0
0.8,0.75,-0.050000000000000044
0.9,0.9,0.0
0.8500000000000001,0.875,0.02499999999999991
0.75,0.6250000000000001,-0.12499999999999989
0.95,0.95,0.0
0.85,0.85,0.0
1.0,1.0,0.0
0.85,0.85,0.0
0.8,0.825,0.02499999999999991
1.0,1.0,0.0
0.975,1.0,0.025000000000000022
0.8,0.8,0.0
1.0,1.0,0.0
0.9,0.9,0.0
0.75,0.8,0.050000000000000044
0.775,0.775,0.0
0.475,0.475,0.0
1.0,1.0,0.0
0.975,0.975,0.0
0.7,0.7,0.0
0.925,0.925,0.0
0.875,0.85,-0.025000000000000022
0.975,0.975,0.0
0.8,0.7250000000000001,-0.07499999999999996
0.975,1.0,0.025000000000000022
0.7,0.7,0.0
0.9,0.9,0.0
0.9,0.875,-0.025000000000000022
