global_auc,perfold_auc,diff
0.8250000000000001,0.8,-0.025000000000000022
0.8,0.775,-0.025000000000000022
1.0,1.0,0.0
0.8250000000000001,0.8,-0.025000000000000022
0.9,0.9,0.0
0.9,0.825,-0.07500000000000007
0.75,0.75,0.0
0.75,0.7750000000000001,0.025000000000000133
0.825,0.825,0.0
0.75,0.75,0.0
0.9,0.95,0.04999999999999993
0.775,0.7749999999999999,-1.1102230246251565e-16
0.925,0.925,0.0
0.825,0.8500000000000001,0.025000000000000133
0.525,0.525,0.0
0.7250000000000001,0.7250000000000001,0.0
0.975,0.975,0.0
0.75,0.7250000000000001,-0.02499999999999991
0.875,0.85,-0.025000000000000022
0.9,0.925,0.025000000000000022
0.8,0.725,-0.07500000000000007
0.6749999999999999,0.65,-0.02499999999999991
0.85,0.85,0.0
0.8,0.85,0.04999999999999993
0.8250000000000001,0.8500000000000001,0.025000000000000022
0.825,0.825,0.0
1.0,0.85,-0.15000000000000002
0.85,0.85,0.0
0.9,0.875,-0.025000000000000022
0.7749999999999999,0.725,-0.04999999999999993
0.875,0.8250000000000001,-0.04999999999999993
0.8,0.8,0.0
0.8250000000000001,0.7,-0.1250000000000001
0.9,0.9,0.0
0.975,0.85,-0.125
0.9,0.9,0.0
0.7500000000000001,0.7250000000000001,-0.025000000000000022
0.7749999999999999,0.775,1.1102230246251565e-16
0.75,0.775,0.025000000000000022
0.9,0.925,0.025000000000000022
0.825,0.775,-0.04999999999999993
0.925,0.925,0.0
0.875,0.8,-0.07499999999999996
0.975,0.85,-0.125
0.9,0.925,0.025000000000000022
0.925,0.925,0.0
0.95,0.9,-0.04999999999999993
0.625,0.575,-0.050000000000000044
0.975,0.975,0.0
1.0,0.875,-0.125
0.875,0.875,0.0
0.75,0.75,0.0
0.8,0.75,-0.050000000000000044
0.7000000000000001,0.7000000000000001,0.0
0.925,0.925,0.0
0.925,0.925,0.0
0.75,0.75,0.0
0.875,0.875,0.0
0.9,0.85,-0.050000000000000044
0.95,0.95,0.0
0.975,1.0,0.025000000000000022
0.875,0.875,0.0
0.625,0.625,0.0
0.9,0.95,0.04999999999999993
0.7500000000000001,0.7500000000000001,0.0
1.0,1.0,0.0
0.875,0.9,0.025000000000000022
0.7000000000000001,0.7250000000000001,0.025000000000000022
0.775,0.775,0.0
0.8,0.8,0.0
0.95,0.975,0.025000000000000022
0.7,0.75,0.050000000000000044
0.925,0.925,0.0
0.95,0.875,-0.07499999999999996
0.7500000000000001,0.775,0.02499999999999991
1.0,1.0,0.0
0.9,0.8,-0.09999999999999998
0.775,0.775,0.0
0.95,0.825,-0.125
0.825,0.825,0.0
0.875,0.9,0.025000000000000022
0.95,0.95,0.0
0.8,0.825,0.02499999999999991
0.85,0.85,0.0
0.85,0.85,0.0
0.9,0.9,0.0
0.925,0.925,0.0
0.4,0.5,0.09999999999999998
0.75,0.775,0.025000000000000022
0.7,0.7,0.0
0.925,0.95,0.02499999999999991
0.75,0.75,0.0
0.925,0.925,0.0
0.925,0.875,-0.050000000000000044
0.9,0.9,0.0
0.85,0.925,0.07500000000000007
0.875,0.875,0.0
0.775,0.8,0.025000000000000022
1.0,0.875,-0.125
0.85,0.85,0.0
0.95,0.95,0.0
0.8500000000000001,0.9,0.04999999999999993
0.825,0.775,-0.04999999999999993
