model,r2_cv,r2_std,correlation,alpha,n_features,n_samples
LM-only (baseline),0.2661880777714682,0.13454320990375696,0.6203281287548877,1.0,18,1950
LM-only (emb subset),0.20770817019341195,0.18239335666895287,0.5891989650443336,10.0,18,1419
MiniLM-only (1152d),0.028719565258081413,0.25523944321965003,0.7337612799545661,1000.0,1152,1419
Augmented (18+1152),0.07394995429229265,0.25793902660687956,0.753010288488741,1000.0,1170,1419
MiniLM-PCA50 (86% var),0.08612786123331924,0.10912314789130163,0.5478202474515916,1000.0,50,1419
MiniLM-PCA100 (94% var),0.04235139982501808,0.10659102879624482,0.6362749378672719,1000.0,100,1419
Augmented-PCA50 (18+50),0.1791579696430611,0.1585059937297573,0.6171537834660968,1000.0,68,1419
Augmented-PCA100 (18+100),0.12672045283778294,0.16783982307408057,0.6684272124948673,1000.0,118,1419
