label_a,label_b,median_gap,pct_better,wilcoxon_p,n_pairs,benchmark
UMCSENT:lr23,UMCSENT:naive,0.06666666666666654,0.631,1.6539796221351847e-25,1000,UMCSENT
UMCSENT:lr23,UMCSENT:lr_sent,0.21111111111111125,0.866,5.863855053409737e-137,1000,UMCSENT
UMCSENT:lr23_sent,UMCSENT:lr23,0.0,0.074,1.0,1000,UMCSENT
