cutoff,best_C,n_train,n_test,auc_overall,auc_mania,auc_leverage
2008-01,0.8858667904100823,16,53,0.43492063492063493,0.46992481203007525,0.453125
2010-01,0.20691380811147903,20,49,0.17450980392156865,0.22222222222222224,0.14583333333333331
2012-01,10.0,21,48,0.711111111111111,0.7450980392156863,0.7708333333333333
2015-01,10.0,27,42,0.85,0.91875,0.8571428571428572
2018-01,0.3359818286283781,34,35,0.7121212121212122,0.7070707070707071,0.5384615384615384
