lr23,lr_sent,lr23_sent,naive,split,benchmark
0.9555555555555556,0.5333333333333334,0.9111111111111111,0.6666666666666667,0,UMCSENT
1.0,0.8222222222222222,1.0,0.8444444444444446,1,UMCSENT
0.8666666666666667,0.288888888888889,0.8666666666666667,0.7777777777777779,2,UMCSENT
0.8888888888888888,0.6222222222222222,0.8888888888888888,0.8444444444444446,3,UMCSENT
0.8666666666666667,0.5444444444444445,0.8666666666666667,0.7777777777777778,4,UMCSENT
0.9333333333333333,0.5333333333333333,0.9333333333333333,0.8666666666666667,5,UMCSENT
0.9555555555555556,0.3777777777777778,0.9555555555555556,0.8444444444444446,6,UMCSENT
0.7111111111111111,0.6666666666666666,0.7111111111111111,0.888888888888889,7,UMCSENT
0.7111111111111111,0.7555555555555555,0.8,1.0,8,UMCSENT
0.9111111111111111,0.7777777777777778,0.888888888888889,0.9111111111111111,9,UMCSENT
0.8888888888888888,0.8222222222222222,0.8888888888888888,0.6444444444444445,10,UMCSENT
0.9777777777777777,0.7888888888888889,0.9777777777777777,0.8666666666666667,11,UMCSENT
0.8666666666666667,0.5555555555555556,0.8,0.4666666666666667,12,UMCSENT
1.0,0.7555555555555556,0.9555555555555556,0.9111111111111111,13,UMCSENT
0.8222222222222222,0.6444444444444445,0.8222222222222222,0.9333333333333333,14,UMCSENT
0.7777777777777777,0.6222222222222222,0.7777777777777777,0.6666666666666666,15,UMCSENT
0.8888888888888888,0.6333333333333334,0.8888888888888888,0.8888888888888888,16,UMCSENT
0.5555555555555556,0.5222222222222223,0.5555555555555556,0.7111111111111112,17,UMCSENT
0.7111111111111111,0.34444444444444444,0.7111111111111111,0.7777777777777778,18,UMCSENT
1.0,0.6111111111111112,0.9777777777777777,0.7777777777777778,19,UMCSENT
0.8666666666666667,0.7111111111111111,0.8222222222222223,0.9111111111111111,20,UMCSENT
0.6444444444444444,0.8,0.6444444444444444,0.6444444444444445,21,UMCSENT
0.9111111111111111,0.5444444444444445,0.9111111111111111,0.8888888888888888,22,UMCSENT
0.8666666666666667,0.6666666666666667,0.8666666666666667,0.8222222222222222,23,UMCSENT
0.7111111111111111,0.6666666666666667,0.7111111111111111,0.8444444444444444,24,UMCSENT
0.7333333333333334,0.5444444444444444,0.7333333333333334,0.6888888888888888,25,UMCSENT
0.9111111111111111,0.6888888888888889,0.8222222222222222,0.6222222222222222,26,UMCSENT
0.711111111111111,0.9111111111111111,0.711111111111111,0.7555555555555556,27,UMCSENT
0.888888888888889,0.1777777777777778,0.8666666666666667,0.8888888888888888,28,UMCSENT
0.8666666666666667,0.4444444444444444,0.8666666666666667,0.8888888888888888,29,UMCSENT
