label,obs_median,p_value,null_median,null_95,n_obs,n_null,time_s
Fixed C=1.0,0.8666666666666667,0.02792,0.48888888888888893,0.8,200,100000,342.4401752948761
LogisticRegressionCV,0.8444444444444446,0.02837,0.48888888888888893,0.8,200,100000,5105.881909132004
